snapped_at,volume
2025-03-31 10:30:00 +0000,1727095054.178792195077435963453987656
2025-04-01 10:30:00 +0000,2324836937.29690879577048773132641
2025-04-02 10:30:00 +0000,2544466868.35682250659721171465438882
2025-04-03 10:30:00 +0000,4423846279.29386695311357014357727318
2025-04-04 10:30:00 +0000,3179802896.23532547007548980167529475
2025-04-05 10:30:00 +0000,3022440375.25129143420975397958231134
2025-04-06 10:30:00 +0000,899571946.049456861118916434057017144
2025-04-07 10:30:00 +0000,5439019410.03740686682190767473791123
2025-04-08 10:30:00 +0000,5583424451.251373538246414569272043486
2025-04-09 10:30:00 +0000,4298643322.22931528172376581806969756
2025-04-10 10:30:00 +0000,5148646226.586163486068218804837252482
2025-04-11 10:30:00 +0000,3482590260.01370255404188109343926545
2025-04-12 10:30:00 +0000,2520146586.547891487698732797915335855
2025-04-13 10:30:00 +0000,2018965204.02630066073025781104999409
2025-04-14 10:30:00 +0000,2453602737.673691313649927672158137706
2025-04-15 10:30:00 +0000,2268769854.43848294689928965530950864
2025-04-16 10:30:00 +0000,2138069902.74695062538028252894492525
2025-04-17 10:30:00 +0000,2279977589.489285445543264890586901854
2025-04-18 10:30:00 +0000,1814430166.173813698139398832429220465
2025-04-19 10:30:00 +0000,1050891558.840087902605282784062761189
2025-04-20 10:30:00 +0000,1182781475.756710500024201906804546499
2025-04-21 10:30:00 +0000,1823769056.166031591069471702102053858
2025-04-22 10:30:00 +0000,2988344267.236075437346207270953039229
2025-04-23 10:30:00 +0000,5550881779.6175647874542733615467024
2025-04-24 10:30:00 +0000,3665878936.91987411104026477332982202
2025-04-25 10:30:00 +0000,3765903457.78770575963095708872708618
2025-04-26 10:30:00 +0000,3958714422.882677141073716444441083719
2025-04-27 10:30:00 +0000,1547708989.95363166031430422357193
2025-04-28 10:30:00 +0000,2047389914.125970909357067400950425282
2025-04-29 10:30:00 +0000,2732415282.933153212551094845960858005
2025-04-30 10:30:00 +0000,2109524221.660424128104836192748299676
2025-05-01 10:30:00 +0000,2593165816.867279765790356755450310455
2025-05-02 10:30:00 +0000,2242287478.85392606904669870938915908
2025-05-03 10:30:00 +0000,1557209494.68292471517171639146760949
2025-05-04 10:30:00 +0000,990515152.772649880218211437131344695
2025-05-05 10:30:00 +0000,1159532674.395491464938137439704818312
2025-05-06 10:30:00 +0000,1616925629.20193312253657013430132232
2025-05-07 10:30:00 +0000,2152914261.109757221795803156342422366
2025-05-08 10:30:00 +0000,2725772833.14398124500474770761495162
2025-05-09 10:30:00 +0000,5425766895.212642733430092130251847
2025-05-10 10:30:00 +0000,3443620243.31601138732930498293064454
