snapped_at,price,market_cap,total_volume
2024-05-09 00:00:00 UTC,95.17624861663019,18996217.321178842,56861.48222120028
2024-05-10 00:00:00 UTC,97.74628853182652,19466237.738690574,74103.27816563241
2024-05-11 00:00:00 UTC,92.52419689692336,18469673.79297058,25322.804044899854
2024-05-12 00:00:00 UTC,95.58868358807713,19031064.65590466,47615.1659498447
2024-05-13 00:00:00 UTC,97.48166507891757,19379419.892988287,45975.069123753856
2024-05-14 00:00:00 UTC,90.74430623202622,18101441.828586258,32163.267970336863
2024-05-15 00:00:00 UTC,86.4692214817314,17233231.41410238,72368.91961051659
2024-05-16 00:00:00 UTC,91.74661458655522,18304646.213881597,54160.23931857429
2024-05-17 00:00:00 UTC,91.6522614068075,18382258.995566905,38896.07675982026
2024-05-18 00:00:00 UTC,93.17777631778621,18560923.14834636,49839.354048783614
2024-05-19 00:00:00 UTC,94.8570782261107,18905902.837440476,69184.35274670139
2024-05-20 00:00:00 UTC,95.02480643355649,18932582.148659293,17686.945847005056
2024-05-21 00:00:00 UTC,112.11230341957706,22335128.150233943,67635.91596987945
2024-05-22 00:00:00 UTC,113.81639862491409,22687735.089974474,142620.81552309718
2024-05-23 00:00:00 UTC,107.45335540914161,21404053.015723955,124977.13198155741
2024-05-24 00:00:00 UTC,109.60520264621607,21752147.573427558,178734.60614175588
2024-05-25 00:00:00 UTC,112.15339328189526,22333419.240398005,202451.785354727
2024-05-26 00:00:00 UTC,119.24649313802061,23726945.047529463,253779.06728534406
2024-05-27 00:00:00 UTC,122.00484456635007,24322107.87380962,355668.35583187605
2024-05-28 00:00:00 UTC,121.20202752421979,24129480.020371325,50752.597986216424
2024-05-29 00:00:00 UTC,118.8828794948036,23722783.45894149,58936.28995473514
2024-05-30 00:00:00 UTC,111.22985260764767,22149047.528826803,71403.83050887958
2024-05-31 00:00:00 UTC,111.65206489716842,22894761.731403228,77465.50185683764
2024-06-01 00:00:00 UTC,113.21431106609514,22569611.01700657,827397.9600015003
2024-06-02 00:00:00 UTC,112.7966518749123,22465824.369455058,26492.791285338728
2024-06-03 00:00:00 UTC,111.31303562800197,22151884.01419988,164487.8115293805
2024-06-04 00:00:00 UTC,108.91680478186086,21674859.657326885,218342.599428128
2024-06-05 00:00:00 UTC,114.50823429687266,22778734.37629765,224399.11273163403
2024-06-06 00:00:00 UTC,118.97523153949639,22552045.604124986,93742.97935018015
2024-06-07 00:00:00 UTC,112.27236745078646,22351594.12972082,27063.56418078906
2024-06-08 00:00:00 UTC,105.1378797153557,20934171.90155096,246216.45620813494
2024-06-09 00:00:00 UTC,99.57002875235598,19856271.906017568,73055.49292886847
2024-06-10 00:00:00 UTC,102.90260389599622,20493323.87381947,6602.964363215511
2024-06-11 00:00:00 UTC,102.34623178963284,20401540.87725583,136747.2117895551
2024-06-12 00:00:00 UTC,97.98909077332522,19532942.853181675,94693.65729554946
2024-06-13 00:00:00 UTC,100.63968784910088,20040505.670933124,124359.42513895233
2024-06-14 00:00:00 UTC,98.08530247593988,19549867.950572178,55136.104600038314
2024-06-15 00:00:00 UTC,102.37196560298113,20356539.22841997,190975.1228751293
2024-06-16 00:00:00 UTC,105.37465948001827,20967609.464448445,152043.52293840662
2024-06-17 00:00:00 UTC,110.6221267876065,22033804.65864245,189682.14560017796
2024-06-18 00:00:00 UTC,102.06961507190326,20318717.828696072,105237.05218092099
2024-06-19 00:00:00 UTC,98.35762274715185,19555368.795493737,227378.50088316144
2024-06-20 00:00:00 UTC,104.29087694254316,20766556.43046964,164250.43982122454
2024-06-21 00:00:00 UTC,102.083133690128,20796576.765011095,96497.78622753525
2024-06-22 00:00:00 UTC,102.85783964080055,20491017.07927566,37369.44938057561
2024-06-23 00:00:00 UTC,103.48780919023142,20654322.917540338,87046.9985421455
2024-06-24 00:00:00 UTC,96.62539705623004,19287347.590433296,73716.36918949094
2024-06-25 00:00:00 UTC,101.21866073522202,20147923.71232037,121312.29949241685
2024-06-26 00:00:00 UTC,101.7249351983037,19725435.853525184,35514.26668150729
2024-06-27 00:00:00 UTC,99.51250865491821,20487804.48480124,59605.84786669252
2024-06-28 00:00:00 UTC,106.11532999461666,21131880.23478379,94802.36495445021
2024-06-29 00:00:00 UTC,97.32571612232287,19413791.328599416,78856.60560977721
2024-06-30 00:00:00 UTC,98.80758090814078,19661635.23009398,62944.116377695645
2024-07-01 00:00:00 UTC,96.2822887457368,19218696.71712945,48166.640173594766
2024-07-02 00:00:00 UTC,103.00409298479293,20504219.43948372,70752.43066988063
2024-07-03 00:00:00 UTC,99.04702407807578,19676003.16908575,90540.92398486665
2024-07-04 00:00:00 UTC,90.05490002176252,17902161.166663304,99563.30118804303
2024-07-05 00:00:00 UTC,83.77712974590344,17124614.728390772,53992.62784092474
2024-07-06 00:00:00 UTC,83.23238597739619,16611735.235323068,313920.7279348759
2024-07-07 00:00:00 UTC,85.96390289124824,17586437.14127442,112757.77126302465
2024-07-08 00:00:00 UTC,81.18265487300908,16128315.664976066,28605.55357219988
2024-07-09 00:00:00 UTC,85.69352512440959,17025082.479712553,61990.24713196802
2024-07-10 00:00:00 UTC,82.37582307552124,16338640.365504807,44829.10413572062
2024-07-11 00:00:00 UTC,90.11752863248265,17914595.46970947,61270.87104877801
2024-07-12 00:00:00 UTC,88.4581903482528,17606083.25925698,67610.58212688826
2024-07-13 00:00:00 UTC,92.40271221364515,18306812.84012449,85873.08691478155
2024-07-14 00:00:00 UTC,91.94205069597264,18287256.70565043,24142.545815456375
2024-07-15 00:00:00 UTC,96.06039143680846,19088114.215586726,37180.75149000176
2024-07-16 00:00:00 UTC,99.19452239367854,19697101.557971664,39849.94362939017
2024-07-17 00:00:00 UTC,97.97965753172299,19444629.543399747,37767.31445643251
2024-07-18 00:00:00 UTC,97.56818365267216,19384979.566231363,70059.98550071788
